Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,TotalSpent_RM,Num_of_Baskets,Day,Time_Of_The_Day,temp,feelslike,dew,humidity,precip,precipprob,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,buyDrink
0,0,0,27,0,2,1,10,2,7,0,10,0,0,3,3,1,5,13,0,0,3,45,75,62,1122,0,0,1,3,2,12,71,25,33,0,13,0,1,1
3,1,0,19,0,0,1,4,2,11,1,2,0,1,2,3,1,13,0,1,2,2,17,17,30,1012,0,0,1,3,25,273,65,23,79,0,13,0,1,1
1,1,0,12,0,1,0,6,0,5,1,12,1,0,1,2,0,48,1,1,4,0,66,93,43,513,0,0,1,3,94,172,51,41,88,299,7,2,0,1
1,0,2,21,1,0,0,7,3,11,1,9,1,1,0,2,0,1,6,2,5,2,26,26,53,1346,0,0,1,3,9,12,70,21,61,329,8,2,1,1
0,0,0,16,0,2,1,0,2,0,0,6,1,1,0,3,0,31,4,1,2,1,28,28,62,1515,0,0,1,3,55,323,51,25,76,0,13,0,1,1
2,1,2,38,0,3,0,5,1,8,0,2,0,0,2,2,1,26,14,2,2,3,28,28,60,1449,0,0,1,3,48,258,79,25,61,0,13,0,1,1
0,1,0,28,0,1,0,8,0,2,1,7,1,2,0,2,1,40,2,1,3,2,27,27,53,1329,0,0,1,3,36,169,51,25,87,0,13,0,1,1
1,0,0,35,0,2,1,1,2,0,0,13,0,0,2,0,1,26,7,0,6,2,37,42,25,635,0,0,1,3,43,8,51,25,79,0,13,0,1,1
1,0,0,0,2,2,1,3,0,10,0,7,0,1,0,2,0,11,7,0,5,2,56,71,33,512,0,0,1,3,81,65,51,25,88,450,12,3,1,1
1,0,1,37,0,3,1,9,2,5,0,12,0,1,2,2,0,24,3,2,2,1,76,108,44,399,0,0,1,3,109,249,51,25,88,11,0,0,1,1
0,1,1,30,1,3,0,0,2,5,0,10,1,0,0,1,0,31,12,1,0,3,36,48,44,943,0,0,1,3,34,308,51,25,88,0,13,0,1,1
2,1,1,41,0,1,0,4,1,11,0,12,0,1,2,1,1,21,10,2,1,0,48,74,53,879,0,0,1,3,21,323,51,25,88,1017,31,9,1,1
1,1,0,16,0,0,0,11,2,8,0,1,0,1,3,2,0,2,10,1,2,2,37,45,32,729,0,0,1,3,47,41,51,25,79,0,13,0,1,1
0,1,2,31,0,1,0,9,0,2,1,0,0,2,0,1,1,41,5,2,0,0,71,106,49,546,0,0,1,3,58,329,51,25,88,632,17,5,1,0
1,0,2,6,1,2,1,6,1,9,1,2,1,0,2,0,1,9,10,0,1,2,18,18,52,1527,0,0,1,3,8,7,51,25,88,0,13,0,1,1
0,1,1,16,0,2,1,1,2,7,1,13,0,0,0,0,0,46,3,0,5,0,109,137,27,41,0,0,1,3,82,74,51,25,88,699,19,5,1,1
2,0,0,6,0,0,0,7,1,6,0,2,0,1,0,3,0,27,12,0,4,0,106,127,25,49,0,0,1,3,85,42,51,25,88,736,21,6,1,1
0,0,0,9,1,4,1,8,1,4,1,15,1,1,1,1,0,32,1,0,5,2,36,51,51,1047,0,0,1,3,31,340,51,25,70,0,13,0,1,0
1,1,0,15,1,3,1,2,1,8,1,3,0,1,1,2,1,33,3,2,2,2,37,54,53,1081,0,0,1,3,34,302,51,25,88,376,10,3,1,1
1,1,1,8,1,4,1,6,2,7,1,6,1,0,1,0,0,22,12,0,3,0,111,105,3,3,0,0,1,3,78,46,51,25,88,871,25,7,1,1
2,0,0,29,0,1,0,5,1,6,1,1,0,0,3,3,1,26,1,2,5,1,67,94,43,494,0,0,1,3,50,64,51,25,88,4,0,0,1,0
0,0,2,21,0,1,1,10,0,0,0,8,1,1,1,2,0,37,2,0,4,2,27,27,42,1045,0,0,1,3,2,22,51,25,52,0,13,0,1,1
1,0,1,29,1,0,0,6,1,5,0,3,0,0,3,2,0,14,0,2,0,2,44,44,15,350,0,0,1,3,135,50,51,25,88,0,13,0,1,1
0,1,0,6,0,1,1,4,1,10,1,1,0,0,0,1,1,46,1,2,4,1,63,76,26,335,0,0,1,3,94,123,51,25,88,168,3,1,1,1
1,1,0,42,1,2,0,4,2,1,1,8,1,0,0,3,1,48,11,0,1,2,35,41,30,726,0,0,1,3,49,189,58,22,79,0,13,0,1,1
2,1,1,15,1,0,1,3,1,8,0,7,0,1,1,2,1,44,7,1,1,0,96,146,54,313,17,1,0,3,54,179,28,25,121,612,17,5,3,0
3,0,1,0,0,1,1,4,0,3,1,10,1,1,1,2,0,21,6,0,0,2,38,62,63,1284,0,0,1,3,50,191,51,25,70,479,13,3,1,0
1,1,1,8,0,3,1,6,2,10,1,9,0,0,2,0,0,32,14,1,5,2,58,81,42,605,0,0,1,3,24,30,51,25,88,929,27,7,1,1
1,1,1,0,1,3,0,6,0,7,0,5,0,0,3,0,1,40,14,0,4,0,33,33,63,1422,0,0,1,3,191,236,51,40,12,516,14,4,0,1
3,0,0,34,0,4,1,4,0,4,0,6,0,0,0,2,0,16,0,0,2,2,18,18,53,1539,0,0,1,3,11,12,51,25,51,0,13,0,1,1
2,0,1,28,0,1,0,1,1,4,1,0,0,1,1,2,2,26,12,1,2,2,37,49,44,907,0,0,1,3,109,40,51,25,87,0,13,0,1,1
3,0,2,10,1,4,1,4,2,6,1,12,0,1,3,2,0,29,11,0,3,2,18,18,50,1463,0,0,1,3,17,323,55,25,51,0,13,0,1,1
0,0,0,27,0,1,0,7,0,11,0,10,0,0,0,2,1,27,14,2,0,2,10,10,53,1671,0,0,1,3,4,17,51,25,52,0,13,0,1,0
3,1,2,32,1,4,0,1,0,10,1,5,0,1,1,1,0,23,10,1,3,0,38,57,54,1068,0,0,1,3,175,165,51,25,59,521,14,4,1,1
3,1,2,14,0,2,0,6,0,10,1,4,1,0,1,2,1,34,9,0,5,3,27,27,52,1294,0,0,1,3,36,330,51,25,79,0,13,0,1,1
1,1,1,3,1,2,0,8,0,0,0,11,1,0,3,2,1,46,13,2,5,3,37,59,62,1288,0,0,1,3,2,15,51,25,52,0,13,0,1,0
2,1,2,37,1,1,0,2,1,9,1,13,0,1,0,3,0,18,13,2,1,2,18,18,53,1532,0,0,1,3,4,14,32,25,51,0,13,0,1,1
2,0,1,32,0,1,0,6,1,6,0,2,1,1,0,1,0,47,10,1,1,1,68,95,42,471,0,0,1,3,110,212,51,25,88,157,3,1,1,0
3,0,1,24,0,3,0,7,0,3,0,8,1,1,1,3,1,37,10,1,3,0,62,99,55,711,20,1,0,3,94,251,39,28,74,419,11,3,3,1
1,1,0,25,0,3,1,5,2,7,1,7,1,1,1,2,1,19,8,2,4,0,94,110,23,85,0,0,1,3,79,28,30,22,111,401,10,3,1,1
3,0,1,38,1,2,0,7,1,11,1,14,0,1,1,0,0,46,3,0,4,3,27,27,52,1283,0,0,1,3,56,206,51,25,79,0,13,0,1,1
4,1,0,20,0,1,0,6,1,11,2,0,1,1,2,2,0,26,14,0,3,2,27,27,57,1412,0,0,1,3,22,131,51,25,65,0,13,0,1,1
2,1,2,31,1,0,0,6,0,10,0,14,0,1,1,0,1,42,0,2,2,2,18,18,32,1030,0,0,1,3,8,8,51,25,79,0,13,0,1,1
2,1,2,38,1,3,1,5,1,10,1,14,0,1,3,1,0,35,2,2,6,0,77,120,54,529,0,0,1,3,149,310,51,25,88,655,18,5,1,1
3,1,2,7,0,4,1,9,2,2,0,14,0,1,1,2,0,17,0,2,3,2,18,18,52,1502,0,0,1,3,4,8,51,25,61,0,13,0,1,1
3,1,2,24,0,1,2,8,0,3,0,15,0,0,1,1,2,13,12,1,5,3,37,59,61,1247,0,0,1,3,18,29,46,26,12,0,13,0,1,1
1,1,1,19,0,1,0,1,0,4,1,0,0,0,3,1,1,27,0,2,0,0,67,104,53,629,0,0,1,3,38,341,51,25,88,597,16,4,1,0
3,0,1,16,0,1,0,0,3,2,0,0,0,1,3,0,0,42,2,0,1,1,47,75,57,977,0,0,1,3,36,38,51,25,88,5,0,0,1,0
3,0,2,10,1,0,0,9,0,2,2,0,0,0,1,2,2,5,14,0,0,0,87,145,63,507,0,0,1,3,147,182,51,46,5,551,15,4,0,1
1,1,1,1,1,2,0,0,0,6,1,7,0,0,3,3,0,19,12,2,0,3,38,56,52,1025,0,0,1,3,25,2,51,25,88,0,13,0,1,1
1,1,0,15,1,1,1,1,0,10,0,5,0,1,2,2,1,23,1,2,3,2,35,46,44,965,0,0,1,3,95,318,82,25,69,0,13,0,1,1
0,1,2,37,1,2,2,10,0,0,1,0,0,1,1,2,0,40,14,2,2,2,31,31,53,1196,0,0,1,3,40,360,51,25,69,0,13,0,1,1
4,0,2,10,1,2,1,9,2,3,1,12,1,1,2,0,2,11,10,0,1,2,1,1,42,1668,0,0,1,3,2,361,45,25,16,167,3,1,1,1
3,0,1,29,0,1,0,9,0,10,1,5,0,1,3,3,0,36,7,0,0,2,27,27,53,1308,0,0,1,3,53,283,51,25,88,636,17,5,1,1
0,1,0,36,0,1,0,1,0,0,1,13,1,1,0,0,0,39,2,1,1,1,47,75,57,977,0,0,1,3,36,38,51,25,88,5,0,0,1,1
2,1,1,13,0,0,1,10,0,0,1,10,1,0,1,1,1,10,6,2,2,0,64,96,50,632,0,0,1,3,81,285,51,25,88,998,30,8,1,1
3,0,1,17,0,3,1,9,2,4,0,8,0,1,3,3,1,10,9,0,3,2,7,7,31,1243,0,0,1,3,6,9,52,25,79,0,13,0,1,1
3,0,2,35,1,0,1,7,2,9,1,11,1,0,2,3,0,34,2,0,3,2,8,8,44,1622,0,0,1,3,58,326,51,25,50,23,1,0,1,1
0,0,2,32,0,0,0,7,2,7,0,4,0,1,1,2,2,43,5,2,4,1,56,80,44,662,0,0,1,3,89,98,51,25,42,10,0,0,1,1
3,1,1,30,0,0,0,5,2,1,0,9,0,1,3,0,1,45,4,0,2,2,46,65,44,792,0,0,1,3,4,341,51,25,79,0,13,0,1,1
3,0,2,25,1,1,0,1,3,1,0,5,0,1,1,3,0,22,6,2,4,1,40,60,53,1007,0,0,1,3,43,248,51,25,75,115,2,0,1,1
1,0,2,3,0,4,1,5,2,1,1,7,1,1,1,3,0,7,2,0,4,3,56,87,52,755,0,0,1,3,42,94,51,25,88,0,13,0,1,1
3,0,0,19,1,4,0,10,1,4,0,5,1,1,0,2,0,38,11,1,4,2,17,17,52,1557,0,0,1,3,33,342,51,25,42,0,13,0,1,1
3,0,2,10,0,1,0,3,0,6,1,7,1,1,3,3,1,21,12,2,5,2,66,85,34,403,0,0,1,3,100,42,51,25,88,600,16,5,1,1
0,0,2,30,1,1,0,2,1,4,1,5,0,0,0,1,1,36,0,2,4,1,37,54,53,1074,0,0,1,3,45,172,51,25,79,7,13,0,4,1
0,1,2,34,0,0,0,1,1,3,1,4,1,0,3,0,1,9,9,1,1,2,27,27,62,1542,0,0,1,3,6,8,51,25,79,0,13,0,1,1
3,0,2,14,0,4,0,9,1,1,0,15,1,1,3,1,0,45,7,0,0,1,94,120,34,152,0,0,1,3,116,222,40,25,111,462,12,3,1,1
3,1,2,38,2,1,0,1,1,12,0,12,1,0,1,1,0,0,6,1,1,3,27,27,50,1210,0,0,1,3,85,122,51,25,81,0,13,0,1,0
0,0,2,24,0,2,0,8,1,11,0,5,1,0,0,0,1,7,8,2,3,1,86,101,24,124,0,0,1,3,112,241,51,25,88,175,3,1,1,1
2,0,1,2,0,1,0,0,1,5,0,12,1,0,1,1,0,42,8,1,6,2,26,26,9,460,0,0,1,3,51,123,68,25,88,379,10,3,1,1
2,1,1,11,1,4,1,4,1,8,1,4,1,0,2,3,0,22,2,0,4,1,56,86,52,753,0,0,1,3,70,178,36,25,92,245,6,2,1,1
4,1,0,35,1,0,0,4,0,9,1,15,0,1,0,2,0,47,6,2,0,2,78,117,51,468,0,0,1,3,111,132,41,46,4,917,27,7,0,1
2,1,2,18,0,1,0,8,0,9,1,7,1,1,2,3,0,21,8,0,0,2,17,17,43,1309,0,0,1,3,29,44,51,25,76,481,13,4,1,1
1,1,0,41,1,3,0,0,1,7,1,7,0,1,2,1,1,22,14,1,4,2,29,29,52,1222,0,0,1,3,64,320,51,25,61,0,13,0,1,1
0,0,2,25,1,2,1,7,0,4,1,14,0,1,1,0,0,36,4,2,1,2,27,27,51,1240,0,0,1,3,27,6,51,25,53,0,13,0,1,1
3,0,0,30,0,0,0,10,0,8,1,7,0,1,1,0,0,38,11,2,0,3,27,27,63,1586,0,0,1,3,0,0,51,25,69,0,13,0,1,1
1,0,0,22,1,0,0,0,2,4,1,13,0,1,3,1,0,20,14,2,6,1,86,140,61,490,0,0,1,3,65,177,51,25,88,5,0,0,1,0
2,0,0,2,0,2,1,9,1,12,2,11,0,0,2,3,1,46,11,0,6,0,103,108,12,15,0,0,1,3,109,8,60,8,102,1062,33,9,1,1
3,0,0,29,2,1,2,4,0,0,0,13,0,1,1,3,0,5,1,1,4,3,21,21,53,1458,0,0,1,3,29,74,51,25,66,0,13,0,1,1
0,1,0,27,1,2,0,7,1,1,0,14,0,0,1,3,0,16,14,0,6,2,28,28,63,1549,0,0,1,3,0,0,51,25,34,0,13,0,1,1
1,0,0,35,1,0,0,5,2,2,0,2,0,0,0,1,1,0,7,2,5,0,110,129,19,16,0,0,1,3,104,53,57,25,120,1045,32,9,1,1
2,1,1,7,0,0,2,6,0,8,1,10,1,1,3,0,0,11,7,2,1,2,0,0,41,1668,0,0,1,3,2,4,34,25,58,0,13,0,1,1
2,0,3,18,0,4,2,11,1,6,1,15,0,0,0,1,1,30,10,2,4,2,9,9,43,1536,0,0,1,3,22,280,51,17,79,0,13,0,1,1
2,1,0,6,1,4,1,1,0,0,0,1,0,1,0,2,1,12,0,2,5,0,97,115,25,79,0,0,1,3,56,281,51,25,88,1081,35,10,1,1
1,0,0,8,0,0,1,10,1,7,1,1,1,1,0,2,0,46,12,2,2,2,17,17,54,1621,0,0,1,3,18,341,32,25,16,0,13,0,1,0
3,0,0,5,1,0,0,2,1,8,0,2,1,1,0,2,0,5,8,0,4,2,9,9,34,1306,0,0,1,3,22,10,51,25,79,0,13,0,1,1
1,1,1,15,0,1,0,9,0,10,1,5,0,1,0,0,0,28,0,2,2,2,37,54,53,1081,0,0,1,3,2,6,51,25,88,285,7,2,1,1
2,0,0,37,0,4,2,9,3,7,1,15,0,0,0,0,0,49,0,2,6,2,17,17,52,1539,0,0,1,3,4,25,51,25,26,0,13,0,1,1
1,2,1,42,1,3,0,11,2,9,1,9,0,1,3,2,2,14,5,1,0,2,17,17,53,1582,0,0,1,3,35,342,51,25,32,0,13,0,1,1
0,1,2,17,0,2,1,6,1,10,1,15,1,0,2,3,1,29,10,0,0,2,57,88,52,742,0,0,1,3,42,328,51,25,88,805,23,6,1,1
2,1,0,5,1,3,0,7,1,7,0,9,0,0,3,1,0,47,11,2,2,2,14,14,53,1643,70,1,0,3,0,0,44,25,50,0,13,0,3,1
0,1,2,20,0,5,0,8,0,10,1,5,0,1,1,3,2,13,7,1,3,2,22,22,52,1424,0,0,1,3,11,346,51,32,13,214,5,1,0,1
1,0,1,9,0,3,0,4,2,11,0,6,0,0,1,1,1,27,10,1,6,1,85,108,33,196,0,0,1,3,58,357,51,25,88,134,2,1,1,1
3,1,2,26,1,1,1,10,2,5,0,8,0,1,3,1,0,49,11,1,6,3,18,18,54,1582,0,0,1,3,19,249,51,25,51,0,13,0,1,1
3,0,2,1,1,3,1,10,1,2,0,3,0,1,1,1,2,32,5,1,4,2,57,83,46,687,0,0,1,3,67,30,51,38,88,531,14,4,0,1
4,0,2,27,1,0,1,7,1,10,0,11,1,0,1,1,0,42,3,0,1,1,86,118,42,270,0,0,1,3,112,238,51,25,88,207,5,1,1,1
3,0,0,15,1,0,1,1,2,8,0,7,0,0,3,2,0,26,10,1,0,1,38,51,46,945,0,0,1,3,70,313,58,25,51,0,13,0,1,0
0,1,2,41,0,0,1,5,0,7,1,2,1,0,3,0,0,22,4,0,4,1,28,28,44,1075,0,0,1,3,10,9,51,25,88,0,13,0,1,1
2,2,2,35,0,1,0,9,3,0,1,6,1,1,3,3,0,34,14,1,6,0,68,116,62,735,0,0,1,3,112,261,1,25,91,228,5,1,1,1
2,0,1,6,0,2,1,1,1,10,1,10,0,0,0,2,0,3,11,1,6,0,76,118,54,539,0,0,1,3,37,213,51,25,88,680,18,5,1,1
4,0,2,29,0,1,0,11,0,2,2,6,0,0,3,1,0,31,0,2,2,0,67,115,63,759,0,0,1,3,159,206,51,46,4,750,21,6,0,0
3,0,1,28,1,1,1,4,1,9,1,11,0,0,0,3,0,20,8,0,5,2,25,25,42,1118,0,0,1,3,28,291,36,25,69,0,13,0,1,1
3,1,0,19,0,3,0,4,1,10,0,9,0,1,3,3,0,14,0,1,4,2,25,25,51,1312,0,0,1,3,25,324,69,25,53,0,13,0,1,1
2,1,0,7,1,2,0,7,2,1,0,7,1,1,1,1,0,30,3,1,4,2,10,10,33,1237,0,0,1,3,18,355,60,25,79,0,13,0,1,1
0,1,1,10,1,4,1,10,2,8,1,2,0,0,2,3,1,16,11,0,1,0,95,110,22,78,0,0,1,3,116,26,40,25,120,951,28,8,1,1
2,2,1,9,1,3,1,1,0,3,1,12,0,1,0,1,1,16,0,1,3,2,16,16,44,1368,0,0,1,3,54,310,51,25,71,0,13,0,1,1
3,1,0,30,0,4,1,6,1,5,1,11,1,1,3,0,1,5,1,2,0,0,22,22,54,1453,0,0,1,3,184,333,51,41,11,449,12,3,0,1
0,0,1,3,1,4,0,6,1,12,0,5,0,1,2,2,1,10,4,1,4,2,16,16,33,1104,0,0,1,3,16,361,51,25,61,0,13,0,1,1
2,1,0,24,1,4,0,7,1,0,1,4,0,1,3,0,0,37,6,1,0,2,37,54,53,1081,0,0,1,3,6,9,51,25,79,0,13,0,1,1
3,0,2,31,0,0,1,4,1,6,0,13,1,0,2,0,1,32,1,1,3,2,56,55,10,170,0,0,1,3,65,72,51,25,88,927,27,7,1,1
0,2,1,36,0,1,0,11,3,2,1,15,0,1,0,0,0,42,7,2,6,2,22,22,47,1297,0,0,1,3,11,94,44,47,2,266,6,2,0,0
3,1,2,10,0,3,0,8,2,5,1,3,0,0,3,1,1,38,5,0,2,0,49,94,73,1253,0,0,1,3,130,187,51,25,67,314,8,2,1,1
4,0,0,25,2,2,2,1,0,0,1,8,0,1,2,2,1,43,14,1,5,3,33,33,53,1171,0,0,1,3,87,13,51,25,76,0,13,0,1,1
2,1,0,35,0,3,1,10,1,2,1,6,0,1,0,0,1,24,11,0,0,2,26,26,62,1586,0,0,1,3,21,3,51,25,60,0,13,0,1,1
3,1,2,25,0,2,1,1,2,0,1,1,0,1,3,1,0,39,13,2,6,0,87,144,62,500,0,0,1,3,60,33,51,25,88,739,21,6,1,1
3,0,1,30,1,4,1,10,0,9,1,9,1,0,2,0,1,41,5,2,4,2,26,26,43,1108,0,0,1,3,22,355,51,25,88,370,9,3,1,1
0,0,1,1,2,4,1,5,0,0,2,1,1,1,2,2,1,12,12,0,2,2,16,16,43,1358,0,0,1,3,0,0,51,25,87,0,13,0,1,1
1,1,0,6,0,3,0,9,2,0,0,4,0,0,3,0,0,26,4,0,6,1,56,90,55,807,0,0,1,3,56,275,42,25,97,0,13,0,1,1
3,1,2,23,0,1,0,1,0,9,2,0,0,1,0,0,1,42,0,2,2,1,44,72,60,1085,30,1,0,3,98,92,36,47,8,0,13,0,2,1
0,1,1,29,1,1,1,4,0,1,1,10,1,1,3,0,0,41,10,0,4,1,37,59,63,1323,0,0,1,3,51,165,51,25,79,3,0,0,1,1
4,1,3,28,1,2,0,9,1,10,1,8,0,1,1,3,0,47,11,1,3,2,27,27,57,1412,0,0,1,3,22,131,51,25,65,0,13,0,1,1
2,0,2,13,1,0,1,7,0,2,1,9,0,0,3,3,1,5,9,1,5,0,74,100,40,368,0,0,1,3,97,55,51,3,79,1093,37,10,1,1
1,0,2,15,1,2,0,10,1,4,0,11,0,1,3,1,2,44,14,0,2,2,78,120,53,483,0,0,1,3,71,296,51,25,88,901,26,7,1,1
3,1,1,23,0,4,0,2,2,4,0,3,1,0,1,3,1,25,6,0,6,2,27,27,43,1073,0,0,1,3,4,27,51,25,4,0,13,0,1,1
1,1,0,12,0,1,0,9,3,4,1,0,1,1,0,2,2,21,9,0,3,2,27,27,53,1329,0,0,1,3,36,169,51,25,87,0,13,0,1,1
1,1,0,37,0,1,0,8,3,10,1,0,0,0,3,0,0,40,3,0,2,1,38,68,72,1499,83,1,0,3,19,272,42,25,87,0,13,0,3,1
1,2,1,22,0,1,0,0,3,3,2,15,0,0,0,0,1,2,2,0,2,3,37,59,63,1323,0,0,1,3,19,274,51,25,87,0,13,0,1,0
1,1,2,35,0,0,1,4,2,8,1,2,1,1,0,3,1,34,13,2,1,3,8,8,43,1579,0,0,1,3,38,71,51,40,78,0,13,0,0,1
2,2,1,17,1,0,0,11,3,4,0,15,1,1,0,0,1,15,14,1,5,2,26,26,53,1346,0,0,1,3,9,12,70,21,61,329,8,2,1,1
3,1,2,16,0,4,1,4,2,11,0,11,0,1,2,0,0,37,7,2,2,3,35,51,54,1145,0,0,1,3,36,285,90,25,51,0,13,0,1,0
3,1,1,36,1,4,1,5,1,9,1,12,1,0,0,2,1,42,5,2,2,2,37,45,32,729,0,0,1,3,47,41,51,25,79,0,13,0,1,0
0,0,1,20,2,1,0,9,0,12,1,5,1,2,1,3,0,38,5,0,0,3,37,54,55,1135,0,0,1,3,76,13,46,25,73,0,13,0,1,1
3,0,0,5,1,0,0,7,1,3,1,5,1,1,0,1,0,7,3,0,6,2,67,115,63,762,0,0,1,3,52,188,51,25,88,702,19,5,1,1
3,1,0,17,0,1,0,1,1,10,1,6,2,1,1,0,1,30,10,1,5,1,57,109,73,1096,0,0,1,3,37,162,51,46,4,7,0,0,0,1
2,1,0,34,1,4,0,6,2,10,1,3,0,1,0,2,1,24,0,2,3,3,17,17,54,1625,0,0,1,3,86,61,51,41,17,0,13,0,0,1
0,2,2,37,0,0,1,10,3,7,1,6,1,0,3,0,1,40,6,1,2,0,88,113,34,181,0,0,1,3,92,288,51,25,88,1066,34,9,1,0
2,1,0,12,0,2,0,0,1,8,1,8,1,0,1,2,0,38,2,0,0,1,37,54,53,1074,0,0,1,3,45,172,51,25,79,7,13,0,4,0
2,0,1,5,1,3,1,4,1,7,1,10,1,1,0,1,1,16,13,0,2,0,97,115,25,82,0,0,1,3,95,107,51,25,88,1084,36,10,1,1
0,1,0,42,1,4,0,4,1,1,1,12,1,0,2,3,1,40,14,0,1,2,18,18,42,1235,0,0,1,3,9,8,51,25,79,0,13,0,1,1
3,1,0,17,0,0,1,7,0,4,0,5,0,1,1,1,1,17,6,2,3,1,19,19,52,1484,0,0,1,3,64,199,51,25,58,108,2,0,1,1
0,0,2,20,1,0,1,6,1,5,1,3,0,1,3,1,0,48,7,0,3,3,26,26,61,1542,0,0,1,3,27,39,51,25,88,0,13,0,1,1
0,1,1,6,0,1,0,8,2,7,1,11,1,0,3,0,0,15,11,2,3,2,28,28,62,1506,0,0,1,3,6,6,51,25,53,0,13,0,1,0
1,1,0,0,1,4,0,10,0,7,0,13,1,0,3,0,0,17,10,2,4,2,28,28,25,738,0,0,1,3,47,7,51,25,88,695,19,5,1,1
0,0,1,14,1,0,1,9,2,7,0,10,1,1,3,3,0,43,12,1,3,2,8,8,31,1226,0,0,1,3,8,13,51,25,79,0,13,0,1,1
3,1,1,30,2,1,1,9,0,1,0,15,1,1,0,0,2,2,10,0,1,0,96,123,34,140,0,0,1,3,120,64,51,25,88,671,18,5,1,1
3,0,1,19,1,4,0,3,1,2,1,7,0,1,2,0,0,15,4,2,2,0,76,117,53,531,0,0,1,3,71,302,51,25,88,554,15,4,1,1
1,0,2,34,1,2,0,9,1,2,0,11,1,1,2,0,0,16,9,0,2,3,16,16,44,1372,0,0,1,3,60,328,51,25,68,0,13,0,1,1
0,1,1,24,0,2,1,5,2,7,0,8,1,0,0,0,1,39,7,0,3,0,95,147,56,344,0,0,1,3,89,245,51,25,85,384,10,3,1,1
0,0,1,17,0,1,0,9,1,12,1,12,1,1,3,3,0,19,6,1,3,2,27,27,53,1329,0,0,1,3,36,169,51,25,87,0,13,0,1,0
3,1,2,39,0,4,0,3,2,10,0,10,0,1,3,2,1,45,13,0,0,2,48,73,52,847,0,0,1,3,25,68,51,25,61,744,21,6,1,0
0,1,0,31,2,1,0,8,0,2,1,0,0,1,0,2,1,34,4,0,0,3,36,51,51,1047,0,0,1,3,109,39,44,25,87,0,13,0,1,1
2,1,3,20,0,3,1,3,0,5,1,10,0,0,3,1,1,46,4,0,5,0,86,131,53,405,0,0,1,3,103,249,51,25,88,761,21,6,1,1
0,1,1,22,1,0,1,2,1,11,1,0,0,1,0,3,1,23,12,1,1,0,96,114,25,93,0,0,1,3,54,303,51,25,88,1095,38,10,1,1
0,1,2,10,0,2,0,2,2,6,1,10,1,0,1,0,0,38,7,2,3,2,28,28,53,1294,0,0,1,3,0,0,51,25,60,382,10,3,1,1
3,0,1,12,1,4,0,4,1,5,0,7,1,0,3,0,1,35,2,1,1,0,105,146,44,142,0,0,1,3,40,43,51,25,88,780,22,6,1,1
1,0,0,7,1,1,0,9,2,10,1,6,0,0,1,1,1,25,1,1,4,2,68,95,43,480,0,0,1,3,58,318,51,25,88,485,13,4,1,1
1,2,2,22,1,1,0,5,2,6,0,5,0,1,3,0,2,30,2,1,4,1,47,67,45,795,0,0,1,3,83,203,51,25,88,0,13,0,1,1
2,1,1,16,0,4,0,2,0,8,1,14,0,0,1,0,0,37,8,0,3,1,65,100,51,638,0,0,1,3,145,272,32,25,88,183,4,1,1,1
3,1,1,42,1,4,1,3,2,10,0,5,0,0,0,2,0,13,6,1,1,2,27,27,32,857,0,0,1,3,27,26,51,25,70,0,13,0,1,1
1,0,2,24,0,0,0,2,1,10,0,14,0,1,2,1,1,35,11,1,2,3,47,72,53,898,0,0,1,3,50,36,51,25,79,0,13,0,1,0
3,0,2,3,1,4,1,9,1,7,1,11,0,0,0,1,0,18,5,1,0,2,17,17,43,1309,0,0,1,3,51,311,51,25,79,0,13,0,1,1
2,1,0,10,0,2,0,8,1,7,1,12,0,0,3,1,1,40,0,0,6,0,98,107,17,42,0,0,1,3,74,36,51,25,88,766,22,6,1,1
1,0,0,37,0,3,1,8,2,8,1,4,0,1,1,0,1,5,2,2,3,1,85,130,54,437,0,0,1,3,110,249,51,25,88,98,1,0,1,1
3,0,2,30,1,2,1,10,0,2,0,4,0,1,0,1,1,36,8,2,0,2,17,17,53,1582,0,0,1,3,26,19,51,25,52,0,13,0,1,0
0,1,0,24,1,3,0,2,1,4,0,14,0,1,3,3,1,38,14,0,6,1,103,155,53,225,0,0,1,3,77,116,16,25,98,318,8,2,1,1
3,0,2,28,0,1,1,9,0,10,2,8,2,2,3,3,0,5,13,0,5,1,57,110,73,1083,0,0,1,3,37,201,51,46,4,116,2,0,0,1
0,0,2,35,0,4,0,4,2,5,1,5,0,1,0,0,1,14,3,1,2,0,86,121,44,305,0,0,1,3,71,317,51,25,88,734,20,6,1,0
0,1,0,14,1,0,0,1,1,1,0,9,1,0,1,3,1,45,10,1,1,2,15,15,42,1363,0,0,1,3,8,7,55,25,78,221,5,1,1,1
4,2,0,6,1,2,0,2,1,7,1,11,0,1,1,0,2,20,10,0,3,1,64,112,64,821,0,0,1,3,119,258,51,25,85,141,3,1,1,0
1,0,0,7,0,3,1,7,2,1,0,10,1,0,3,3,1,38,2,1,4,2,68,108,55,669,0,0,1,3,89,313,65,25,110,894,26,7,1,1
