Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,TotalSpent_RM,Num_of_Baskets,Day,Time_Of_The_Day,buyDrink,temp,feelslike,dew,humidity,precip,precipprob,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
indian,female,fat,29.0,no,no_kids,big,pink,,white,short_sleeve,white,long,clothes,4,9,no,19.0,9.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,female,moderate,34.0,no,no_kids,big,white,casual,white,short_sleeve,,short,clothes,6,8,no,13.0,9.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,,moderate,48.0,no,no_kids,big,,casual,white,short_sleeve,red,short,clothes,6,10,no,33.0,11.0,3.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
indian,female,fat,36.0,yes,young,small,white,traditional,brown,short_sleeve,blue,long,clothes,5,8,no,31.0,17.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,female,moderate,39.0,yes,young,big,red,casual,white,short_sleeve,purple,short,clothes,3,10,,59.0,21.0,3.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
indian,female,moderate,42.0,yes,young,big,red,,white,short_sleeve,purple,short,clothes,3,8,no,18.0,19.0,3.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
indian,female,,40.0,yes,young,small,white,traditional,,short_sleeve,blue,long,clothes,5,9,no,43.0,16.0,3.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,female,fat,37.0,yes,young,,black,casual,black,short_sleeve,black,short,clothes,5,9,yes,22.0,15.0,1.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
,female,moderate,31.0,yes,young,big,blue,casual,pink,long sleeve,black,long,clothes,6,10,no,29.0,18.0,2.0,Sunday,Morning,0,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,male,moderate,28.0,no,no_kids,big,red,casual,yellow,short_sleeve,black,long,,6,8,,13.0,7.0,3.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
foreigner ,male,,46.0,,no_kids,big,red,formal,blue,long sleeve,black,long,blankets,4,9,no,55.0,11.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
foreigner ,male,fat,30.0,no,no_kids,big,white,,green,short_sleeve,black,short,clothes,3,9,,32.0,16.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,male,,53.0,no,no_kids,big,blue,casual,black,,black,long,clothes,6,10,,22.0,12.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
foreigner ,,fat,55.0,,no_kids,big,red,casual,white,long sleeve,black,long,clothes,5,8,no,34.0,21.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
foreigner ,male,fat,51.0,no,no_kids,big,white,traditional,grey,long sleeve,grey,long,,4,7,no,48.0,15.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
,male,,46.0,yes,toddler,big,white,formal,white,short_sleeve,grey,long,clothes,4,10,no,58.0,18.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,male,fat,45.0,yes,young,big,purple,casual,red,short_sleeve,black,long,blankets,6,10,yes,23.0,12.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
,,moderate,45.0,no,no_kids,big,red,casual,white,short_sleeve,,short,clothes,3,10,yes,41.0,20.0,1.0,Sunday,Morning,0,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
foreigner ,male,fat,32.0,no,no_kids,,red,casual,white,short_sleeve,black,long,blankets,4,7,no,43.0,8.0,2.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
indian,female,fat,37.0,no,no_kids,big,white,formal,blue,long sleeve,black,long,blankets,4,8,yes,46.0,7.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,fat,54.0,yes,young,big,,traditional,blue,long sleeve,blue,long,clothes,3,7,yes,52.0,15.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,female,moderate,40.0,no,no_kids,big,white,,red,short_sleeve,grey,long,clothes,5,10,no,51.0,14.0,1.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
,female,moderate,28.0,no,no_kids,big,red,casual,brown,long sleeve,black,long,blankets,3,7,yes,17.0,14.0,3.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,,fat,38.0,no,no_kids,big,pink,casual,yellow,short_sleeve,black,short,clothes,5,7,,16.0,20.0,1.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,female,fat,52.0,no,no_kids,big,blue,casual,grey,long sleeve,blue,long,clothes,4,8,,36.0,9.0,3.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
indian,male,fat,35.0,no,no_kids,big,pink,casual,black,short_sleeve,blue_jeans,long,clothes,5,8,no,23.0,13.0,3.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,male,fat,47.0,no,no_kids,big,pink,,white,short_sleeve,white,short,clothes,5,7,no,23.0,18.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,male,moderate,35.0,no,no_kids,big,white,casual,black,short_sleeve,,long,clothes,6,7,no,13.0,13.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
foreigner ,female,moderate,37.0,no,no_kids,big,black,,brown,long sleeve,black,long,blankets,3,7,yes,37.0,11.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,male,fat,54.0,no,no_kids,big,red,casual,orange,short_sleeve,blue_jeans,long,clothes,4,8,no,47.0,12.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,male,moderate,54.0,no,no_kids,big,red,formal,blue,long sleeve,black,long,clothes,3,8,no,16.0,10.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,male,moderate,43.0,no,no_kids,big,green,casual,green,short_sleeve,brown,long,clothes,6,9,no,51.0,16.0,3.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,male,fat,50.0,no,no_kids,big,white,casual,red,short_sleeve,,short,clothes,3,9,no,21.0,20.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,male,fat,42.0,no,no_kids,big,green,formal,blue,short_sleeve,black,long,clothes,4,10,,37.0,16.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
indian,male,fat,53.0,no,no_kids,,black,casual,green,short_sleeve,grey,long,blankets,4,8,no,47.0,9.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
indian,female,thin,32.0,no,no_kids,big,red,casual,grey,,white,short,clothes,5,7,no,26.0,19.0,3.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
foreigner ,male,fat,51.0,yes,young,big,,casual,red,short_sleeve,grey,short,blankets,3,8,no,16.0,11.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
,male,fat,40.0,yes,young,big,white,casual,blue,short_sleeve,black,long,blankets,5,7,no,36.0,21.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,female,moderate,53.0,yes,young,big,white,casual,green,short_sleeve,pink,short,clothes,4,7,,17.0,19.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,female,moderate,40.0,yes,young,big,,casual,black,short_sleeve,black,long,clothes,3,7,yes,54.0,9.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
foreigner ,,moderate,46.0,yes,young,big,blue,casual,black,,black,long,clothes,3,8,no,46.0,8.0,3.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,female,moderate,44.0,yes,young,big,white,casual,green,short_sleeve,pink,short,clothes,4,7,no,59.0,9.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
,female,moderate,53.0,yes,young,big,blue,casual,pink,long sleeve,black,long,,3,10,no,30.0,9.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,male,thin,29.0,yes,toddler,,,casual,white,short_sleeve,white,short,,5,9,yes,60.0,10.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,male,fat,46.0,no,no_kids,big,red,casual,blue,short_sleeve,green,short,,3,9,yes,51.0,9.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,,fat,41.0,no,no_kids,,blue,casual,black,short_sleeve,white,short,clothes,3,7,no,27.0,21.0,3.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
foreigner ,male,,34.0,no,no_kids,small,brown,casual,,short_sleeve,,short,clothes,5,7,no,31.0,12.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,,moderate,35.0,no,no_kids,big,white,,white,short_sleeve,red,short,clothes,6,9,no,25.0,20.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,female,moderate,55.0,no,no_kids,big,white,casual,white,short_sleeve,red,short,clothes,6,8,no,27.0,18.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
foreigner ,male,fat,40.0,no,no_kids,big,white,casual,,short_sleeve,brown,short,blankets,3,7,no,26.0,17.0,3.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,male,fat,46.0,no,no_kids,big,blue,formal,white,short_sleeve,black,short,clothes,3,8,yes,38.0,12.0,1.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,,moderate,52.0,no,no_kids,big,white,formal,white,short_sleeve,,short,clothes,6,8,no,51.0,20.0,2.0,Sunday,Morning,0,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,female,moderate,35.0,no,no_kids,big,white,formal,,short_sleeve,red,short,clothes,6,10,no,30.0,13.0,2.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
foreigner ,male,fat,40.0,no,no_kids,big,,,green,,black,short,clothes,3,10,no,43.0,13.0,2.0,Sunday,Morning,0,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
,male,fat,38.0,no,no_kids,big,pink,formal,yellow,,black,short,clothes,5,9,no,37.0,21.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,male,,46.0,yes,toddler,big,red,formal,white,short_sleeve,white,short,clothes,5,9,yes,19.0,14.0,2.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,male,fat,33.0,no,no_kids,,red,,blue,short_sleeve,green,short,clothes,3,9,yes,15.0,10.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,male,,48.0,no,no_kids,big,blue,,black,short_sleeve,,short,clothes,3,7,no,36.0,8.0,3.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
foreigner ,male,thin,42.0,,no_kids,small,,formal,,short_sleeve,brown,short,clothes,5,10,no,40.0,16.0,3.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,female,thin,40.0,no,no_kids,big,white,,white,short_sleeve,red,short,clothes,6,8,no,51.0,17.0,2.0,Sunday,Morning,0,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,female,,54.0,no,,big,white,formal,white,,,short,clothes,6,8,no,41.0,18.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
foreigner ,male,thin,37.0,no,no_kids,big,white,,orange,short_sleeve,brown,short,blankets,5,7,no,27.0,18.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,male,thin,40.0,no,no_kids,big,blue,formal,white,short_sleeve,black,short,clothes,3,9,yes,30.0,11.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
,female,,53.0,no,,,,,white,,,short,clothes,6,8,no,35.0,11.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,female,thin,41.0,,no_kids,big,white,formal,white,,red,short,clothes,6,7,no,18.0,7.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
foreigner ,,,42.0,,no_kids,big,white,casual,green,short_sleeve,black,short,clothes,3,10,,36.0,17.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
chinese,male,thin,40.0,no,no_kids,big,pink,formal,yellow,short_sleeve,black,short,blankets,5,8,no,36.0,18.0,3.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,,30.0,yes,toddler,big,,,,,,short,blankets,6,9,no,29.0,7.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
malay,female,thin,29.0,yes,baby,big,white,formal,white,short_sleeve,red,short,blankets,6,8,no,46.0,15.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,thin,44.0,yes,baby,big,white,formal,white,short_sleeve,red,short,blankets,6,7,no,20.0,9.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
chinese,,,55.0,yes,toddler,big,pink,casual,white,short_sleeve,red,short,blankets,3,10,no,16.0,17.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
malay,female,thin,40.0,yes,toddler,big,orange,casual,purple,,purple,short,blankets,4,10,no,28.0,19.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,thin,50.0,yes,baby,big,blue,formal,orange,short_sleeve,red,short,blankets,4,10,no,44.0,18.0,3.0,Sunday,Morning,0,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,thin,42.0,yes,baby,big,black,formal,pink,,red,short,blankets,4,10,no,36.0,19.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,thin,40.0,yes,baby,big,orange,,purple,,red,short,blankets,3,8,no,27.0,17.0,1.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
malay,female,,30.0,yes,baby,big,black,formal,orange,short_sleeve,,short,clothes,6,8,no,16.0,14.0,2.0,Sunday,Morning,1,26.0,26.0,24.4,90.83,0.0,0.0,,31.7,2.2,129.0,1011.4,89.0,7.7,0.0,1.3,0.0,Partially cloudy
malay,female,thin,45.0,yes,baby,big,red,formal,pink,short_sleeve,blue,short,blankets,5,7,,30.0,9.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,thin,45.0,,baby,big,grey,,purple,short_sleeve,white,short,blankets,4,7,no,59.0,12.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,,32.0,yes,toddler,big,black,casual,orange,short_sleeve,black,short,blankets,3,7,no,36.0,14.0,2.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,thin,33.0,yes,baby,,black,formal,pink,short_sleeve,pink,long,blankets,6,7,yes,33.0,12.0,1.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,male,,50.0,no,no_kids,big,orange,casual,green,short_sleeve,orange,short,clothes,4,9,no,51.0,20.0,3.0,Sunday,Morning,1,26.0,26.0,24.0,88.91,0.0,0.0,,31.7,3.6,167.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,male,fat,38.0,,toddler,big,blue,casual,orange,,blue_jeans,long,clothes,6,10,no,53.0,7.0,2.0,Sunday,Morning,1,26.7,29.5,23.9,84.58,0.0,0.0,,31.7,7.5,29.0,1012.2,89.0,10.0,144.9,0.5,1.0,Partially cloudy
chinese,male,thin,28.0,no,no_kids,,,casual,green,short_sleeve,black,long,clothes,3,8,no,16.0,11.0,1.0,Sunday,Morning,1,28.2,32.8,24.6,80.79,0.0,0.0,,31.7,7.8,95.0,1011.4,89.0,10.0,291.8,1.1,3.0,Partially cloudy
malay,male,thin,46.0,no,no_kids,big,yellow,casual,grey,short_sleeve,blue_jeans,long,clothes,6,10,no,37.0,13.0,1.0,Sunday,Morning,1,30.0,36.1,25.0,74.76,0.0,0.0,,31.7,7.6,79.0,1011.4,89.0,10.0,482.6,1.7,5.0,Partially cloudy
malay,male,,34.0,no,no_kids,big,black,casual,green,short_sleeve,black,long,blankets,6,7,no,52.0,12.0,1.0,Wednesday,Morning,1,28.0,32.7,25.0,83.83,0.0,0.0,,31.7,5.5,321.0,1011.4,89.0,7.0,430.1,1.5,4.0,Partially cloudy
malay,,thin,33.0,no,no_kids,small,white,casual,white,long sleeve,brown,long,clothes,3,7,no,44.0,13.0,1.0,Wednesday,Afternoon,1,32.2,39.7,25.2,66.92,0.0,0.0,,31.7,12.0,233.0,1011.4,89.0,8.2,535.0,1.9,5.0,Partially cloudy
malay,male,thin,37.0,no,no_kids,small,blue,casual,blue,short_sleeve,blue_jeans,long,blankets,6,10,no,27.0,21.0,1.0,Wednesday,Afternoon,1,31.1,39.2,26.0,74.34,0.0,0.0,,31.7,14.5,213.0,1011.4,89.0,7.1,602.0,2.2,6.0,Partially cloudy
malay,female,thin,42.0,,no_kids,small,pink,traditional,black,,black,long,clothes,5,8,no,56.0,16.0,2.0,Wednesday,Afternoon,1,25.4,25.4,24.0,92.06,0.0,0.0,,38.9,16.1,42.0,1011.4,93.2,4.7,409.1,1.5,4.0,Overcast
malay,female,thin,45.0,,baby,big,blue,casual,red,long sleeve,,long,,4,7,yes,42.0,11.0,3.0,Wednesday,Afternoon,1,25.8,25.8,24.2,90.51,0.0,0.0,,31.7,5.8,356.0,1009.3,89.2,7.9,287.1,1.0,3.0,Partially cloudy
malay,,thin,40.0,yes,baby,big,blue,casual,green,short_sleeve,black,short,,6,8,,22.0,20.0,1.0,Wednesday,Evening,1,25.8,25.8,24.2,90.51,0.0,0.0,,31.7,5.8,356.0,1009.3,89.2,7.9,287.1,1.0,3.0,Partially cloudy
malay,female,moderate,44.0,,young,big,black,casual,white,long sleeve,black,long,,6,7,yes,21.0,14.0,2.0,Wednesday,Evening,1,25.4,25.4,24.0,92.06,0.0,0.0,,31.7,12.6,298.0,1009.6,93.2,5.3,247.3,0.9,2.0,Overcast
malay,female,moderate,39.0,yes,,big,blue,traditional,green,,,long,,3,9,yes,18.0,21.0,3.0,Wednesday,Evening,1,25.8,25.8,24.2,90.51,0.0,0.0,,31.7,5.8,356.0,1009.3,89.2,7.9,287.1,1.0,3.0,Partially cloudy
malay,female,moderate,50.0,yes,young,big,blue,,,short_sleeve,black,long,,3,9,no,36.0,15.0,2.0,Wednesday,Evening,1,25.6,25.6,24.6,94.22,0.0,0.0,,31.7,2.5,36.0,1011.4,89.0,10.0,76.4,0.3,1.0,Partially cloudy
malay,female,moderate,40.0,yes,toddler,,white,casual,white,short_sleeve,grey,long,,4,7,,56.0,12.0,1.0,Wednesday,Evening,1,25.6,25.6,24.0,90.81,0.0,0.0,,31.7,4.0,14.0,1011.4,89.0,10.0,0.5,0.0,0.0,Partially cloudy
indian,male,,42.0,no,no_kids,,grey,casual,white,short_sleeve,orange,short,,4,8,no,17.0,15.0,3.0,Wednesday,Evening,1,25.1,25.1,24.0,93.54,0.0,0.0,,31.7,2.2,19.0,1011.4,89.0,10.0,0.5,0.0,0.0,Partially cloudy
malay,female,thin,40.0,no,no_kids,small,white,casual,grey,long sleeve,,long,,3,8,no,13.0,17.0,1.0,Wednesday,Evening,1,25.0,25.0,24.0,94.28,25.118,100.0,rain,31.7,2.6,272.0,1011.4,89.0,9.1,0.0,1.3,0.0,"Rain, Partially cloudy"
malay,female,moderate,45.0,no,no_kids,small,white,casual,red,long sleeve,black,long,clothes,3,10,no,41.0,21.0,1.0,Wednesday,Evening,1,25.0,25.0,24.0,94.38,25.638,100.0,rain,31.7,2.5,269.0,1011.4,89.0,9.1,0.0,1.3,0.0,"Rain, Partially cloudy"
